name,category,price,taste,spicy,calorie_kcal,calorie_level,satiety,scene,temperature,ingredients,avoid_tags,rating,tags
番茄鸡蛋面,面食,18,清淡 酸甜,0,480,中,4,单人 晚餐 治愈,热,番茄 鸡蛋 面条,无,4.6,热食 清淡 不辣 汤面 预算
皮蛋瘦肉粥,粥类,15,清淡 咸鲜,0,320,低,3,早餐 夜宵 治愈,热,大米 皮蛋 猪肉,无,4.5,清淡 不辣 易消化 热食 低油
菌菇汤面,面食,22,清淡 鲜香,0,430,中,4,单人 晚餐 治愈,热,菌菇 青菜 面条,无,4.4,清淡 热食 不辣 汤面 素食可选
鸡胸肉蔬菜饭,轻食,28,清淡 咸香,0,520,中,5,减脂 高蛋白 单人,热,鸡胸肉 西兰花 米饭,无,4.7,高蛋白 低脂 饱腹 减脂
虾仁鸡蛋沙拉,轻食,32,清淡 鲜香,0,360,低,3,减脂 午餐,冷,虾仁 鸡蛋 生菜,海鲜,4.4,低卡 高蛋白 清淡 冷食
番茄牛肉汤,汤类,30,酸甜 鲜香,0,410,中,4,减脂 治愈 晚餐,热,番茄 牛肉,牛肉,4.6,热食 高蛋白 不辣 汤
牛肉粉丝汤,粉面,24,咸鲜,0,510,中,4,夜宵 晚餐 饱腹,热,牛肉 粉丝 青菜,牛肉,4.5,热食 饱腹 不辣
关东煮,小吃,20,清淡 咸鲜,0,390,中,3,夜宵 快速,热,萝卜 鱼丸 豆腐,海鲜,4.3,热食 夜宵 预算 清淡
红豆双皮奶,甜品,16,甜,0,280,低,2,甜食 治愈 下午茶,冷,红豆 牛奶,乳制品,4.8,甜品 治愈 不辣
芋泥麻薯,甜品,18,甜,0,420,中,3,甜食 治愈 下午茶,冷,芋泥 糯米,无,4.7,甜品 治愈 饱腹
热可可,饮品,14,甜,0,220,低,1,甜食 治愈,热,牛奶 可可,乳制品,4.5,热饮 甜品 治愈
蛋挞,甜品,12,甜 香,0,260,低,2,甜食 下午茶,热,鸡蛋 牛奶 面皮,乳制品,4.4,甜品 热食 预算
银耳莲子羹,甜品,18,清甜,0,210,低,2,夜宵 治愈 甜食,热,银耳 莲子,无,4.6,甜品 热食 清淡
土豆炖鸡,家常菜,28,咸香,0,620,中,5,多人 聚餐 饱腹,热,土豆 鸡肉,无,4.5,家常 肉类 饱腹 不辣
番茄牛腩,家常菜,35,酸甜 咸鲜,0,650,中,5,多人 聚餐 晚餐,热,番茄 牛腩,牛肉,4.7,热食 肉类 不辣 聚餐
白切鸡,粤菜,38,清淡 咸鲜,0,540,中,4,多人 聚餐 高蛋白,冷,鸡肉,无,4.5,清淡 肉类 不辣 高蛋白
清蒸鱼,家常菜,42,清淡 鲜香,0,500,中,4,多人 聚餐 健康,热,鱼,海鲜,4.6,清淡 高蛋白 不辣
菌菇鸡汤,汤类,30,清淡 鲜香,0,430,中,3,多人 治愈 晚餐,热,鸡肉 菌菇,无,4.5,热食 清淡 汤 不辣
小馄饨,馄饨,16,清淡 咸鲜,0,360,低,3,夜宵 早餐 快速,热,猪肉 馄饨皮,无,4.4,热食 预算 不辣
牛肉汤粉,粉面,24,咸鲜,0,520,中,4,夜宵 晚餐 饱腹,热,牛肉 米粉,牛肉,4.4,热食 夜宵 饱腹
清蒸鸡腿饭,盖饭,26,清淡 咸香,0,560,中,5,单人 晚餐 高蛋白,热,鸡腿 米饭 青菜,无,4.5,热食 高蛋白 不辣 饱腹
鸡蛋羹,家常菜,12,清淡,0,180,低,2,清淡 早餐 生病,热,鸡蛋,无,4.2,清淡 不辣 低卡 热食
紫菜蛋花汤,汤类,10,清淡 鲜香,0,120,低,1,清淡 快速,热,紫菜 鸡蛋,无,4.1,清淡 不辣 低卡 汤
黄焖鸡米饭,盖饭,25,咸香,1,720,高,5,单人 饱腹 晚餐,热,鸡肉 土豆 米饭,无,4.5,热食 饱腹 预算
麻辣香锅,川菜,38,麻辣,3,900,高,5,重口 聚餐 夜宵,热,蔬菜 丸子 肉类,辣椒,4.6,麻辣 重口 辣 饱腹
川味冒菜,川菜,32,麻辣,3,780,高,5,重口 单人 晚餐,热,蔬菜 丸子 牛肉,辣椒 牛肉,4.5,麻辣 辣 热食
香辣鸡腿堡,快餐,22,香辣,2,680,高,4,快速 夜宵,热,鸡肉 面包,辣椒,4.3,快餐 辣 饱腹
烤鸡腿饭,盖饭,28,咸香,0,690,高,5,单人 饱腹 高蛋白,热,鸡腿 米饭,无,4.6,肉类 饱腹 高蛋白
酸菜鱼片饭,盖饭,34,酸辣,2,620,中,4,单人 晚餐,热,鱼 酸菜 米饭,海鲜 辣椒,4.5,酸辣 热食 饱腹
糖醋里脊饭,盖饭,27,酸甜,0,700,高,5,单人 晚餐,热,猪肉 米饭,无,4.4,酸甜 肉类 饱腹 不辣
低脂牛肉饭,轻食,35,清淡 咸香,0,580,中,5,减脂 高蛋白 饱腹,热,牛肉 米饭 西兰花,牛肉,4.6,高蛋白 减脂 饱腹
豆腐蔬菜煲,素食,24,清淡 鲜香,0,360,低,3,清淡 素食 晚餐,热,豆腐 青菜 菌菇,无,4.3,清淡 素食 热食 低卡
素三鲜水饺,饺子,20,清淡 咸鲜,0,460,中,4,单人 快速,热,韭菜 鸡蛋 木耳,无,4.4,不辣 饱腹 预算
猪肉白菜水饺,饺子,22,咸鲜,0,560,中,5,单人 夜宵,热,猪肉 白菜,无,4.4,热食 饱腹 不辣
鸡丝凉面,面食,20,清爽 咸香,1,520,中,4,夏天 快速,冷,鸡肉 面条,辣椒,4.2,冷食 饱腹 微辣
酸奶燕麦杯,轻食,18,酸甜,0,260,低,2,减脂 早餐,冷,酸奶 燕麦 水果,乳制品,4.3,低卡 冷食 减脂
三明治套餐,轻食,24,清淡 咸香,0,430,中,3,早餐 快速,冷,面包 鸡蛋 火腿,无,4.2,快速 不辣 预算
鸡肉凯撒卷,轻食,26,咸香,0,480,中,4,减脂 快速,冷,鸡肉 生菜 卷饼,无,4.4,高蛋白 轻食 饱腹
海鲜粥,粥类,28,清淡 鲜香,0,340,低,3,夜宵 清淡,热,虾 蟹 大米,海鲜,4.5,清淡 热食 低油
南瓜小米粥,粥类,12,清甜,0,220,低,2,早餐 治愈 清淡,热,南瓜 小米,无,4.4,清淡 热食 预算
葱油拌面,面食,16,咸香,0,580,中,4,快速 预算,热,面条 葱油,无,4.3,预算 饱腹 不辣
牛肉汉堡套餐,快餐,34,咸香,0,850,高,5,快速 饱腹,热,牛肉 面包 薯条,牛肉,4.2,快餐 饱腹 高热量
炸鸡套餐,快餐,32,咸香,0,920,高,5,夜宵 治愈,热,鸡肉 薯条,无,4.4,高热量 夜宵 治愈
麻辣烫,小吃,25,麻辣,3,760,高,5,单人 夜宵 重口,热,蔬菜 丸子 面筋,辣椒,4.5,辣 热食 饱腹
清汤麻辣烫,小吃,25,清淡 咸鲜,0,560,中,5,单人 夜宵,热,蔬菜 丸子 粉丝,无,4.3,热食 不辣 饱腹
照烧鸡排饭,盖饭,26,甜咸,0,710,高,5,单人 饱腹,热,鸡排 米饭,无,4.5,肉类 饱腹 不辣
咖喱鸡肉饭,盖饭,28,咖喱 咸香,1,760,高,5,单人 晚餐,热,鸡肉 土豆 米饭,无,4.4,热食 饱腹 微辣
蔬菜鸡蛋炒饭,炒饭,20,咸香,0,650,高,5,快速 预算 夜宵,热,米饭 鸡蛋 蔬菜,无,4.2,预算 饱腹 不辣
番茄炒蛋盖饭,盖饭,18,酸甜 清淡,0,590,中,5,预算 单人,热,番茄 鸡蛋 米饭,无,4.5,预算 不辣 饱腹
清汤牛肉面,面食,26,清淡 咸鲜,0,570,中,5,单人 晚餐,热,牛肉 面条,牛肉,4.5,热食 清淡 饱腹
香菇滑鸡饭,盖饭,24,咸香 鲜香,0,660,高,5,单人 晚餐,热,鸡肉 香菇 米饭,无,4.5,热食 饱腹 不辣
玉米排骨汤饭,汤饭,30,清淡 鲜香,0,620,中,4,治愈 晚餐,热,排骨 玉米 米饭,无,4.5,热食 清淡 汤 饱腹
红烧牛肉面,面食,28,咸香,1,720,高,5,单人 饱腹,热,牛肉 面条,牛肉,4.6,热食 饱腹 微辣
水果燕麦碗,轻食,25,酸甜,0,300,低,3,减脂 早餐,冷,水果 燕麦 酸奶,乳制品,4.4,低卡 减脂 冷食
凉拌鸡丝荞麦面,轻食,27,清爽 咸香,0,420,中,4,减脂 夏天,冷,鸡肉 荞麦面,无,4.4,低脂 高蛋白 饱腹
红豆汤圆,甜品,16,甜,0,360,中,3,夜宵 治愈 甜食,热,红豆 糯米,无,4.3,甜品 热食 治愈
奶香玉米汁,饮品,12,清甜,0,180,低,1,早餐 治愈,热,玉米 牛奶,乳制品,4.2,热饮 甜品 预算
鱼香肉丝饭,盖饭,24,酸甜 微辣,1,720,高,5,预算 单人,热,猪肉 木耳 米饭,辣椒,4.4,饱腹 微辣 预算
青椒肉丝饭,盖饭,24,咸香 微辣,1,700,高,5,预算 单人,热,猪肉 青椒 米饭,辣椒,4.3,饱腹 微辣 预算
香煎鳕鱼饭,轻食,38,清淡 咸鲜,0,520,中,4,减脂 高蛋白,热,鳕鱼 米饭 蔬菜,海鲜,4.6,高蛋白 清淡 不辣
冬瓜丸子汤,汤类,18,清淡 咸鲜,0,260,低,2,清淡 晚餐,热,冬瓜 猪肉丸,无,4.3,清淡 热食 低卡
牛奶小方,甜品,14,甜,0,240,低,1,甜食 治愈,冷,牛奶,乳制品,4.3,甜品 冷食 预算
香草冰淇淋,甜品,12,甜,0,260,低,1,甜食 下午茶 治愈,冷,牛奶 奶油,乳制品,4.7,甜品 冷食 冰品 冰淇淋 预算
芒果冰沙,饮品,18,甜 酸甜,0,210,低,1,甜食 下午茶 夏天,冷,芒果 冰 沙冰,无,4.6,甜品 冷食 冰品 冰沙 水果
草莓圣代,甜品,16,甜 酸甜,0,320,中,2,甜食 下午茶 治愈,冷,草莓 牛奶 奶油,乳制品,4.6,甜品 冷食 冰品 冰淇淋
柠檬冰茶,饮品,12,酸甜 清爽,0,120,低,1,下午茶 夏天 快速,冷,柠檬 茶 冰,无,4.5,饮品 冷饮 冷食 冰品 预算
草莓奶昔,饮品,18,甜 酸甜,0,260,低,1,甜食 下午茶 治愈,冷,草莓 牛奶 冰,乳制品,4.5,饮品 冷饮 冷食 冰品 甜品
冰美式,饮品,14,清爽,0,15,低,1,下午茶 快速,冷,咖啡 冰,无,4.4,饮品 冷饮 冷食 冰品 低卡
